roles,companies,locations,experience,skills,Dates,PresentDate,salary
Assistant Manager / Manager - Hotel and Holiday sales,Flight Raja Travels Private Limited,"Srinagar, Guwahati, Hyderabad, Jaipur, Ludhiana, Agartala, Kolkata, Bhopal, Mumbai, Thane, Delhi, Pune, Lucknow, Ahmedabad, Surat, Bengaluru",3-8 Yrs,Hotel salesB2BWeb technologiesB2B SalesMS OfficeBusiness ExecutiveCRMManagement,30+ Days Ago,24-11-2024,Not disclosed
Executive Housekeeper - Six Senses Fort Barwara,IHG Hotels & Resorts,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",10-12 Yrs,HousekeepingTrainingHospitalityFront officeSenior ExecutiveFinanceFocusLegal,4 Days Ago,24-11-2024,Not disclosed
Financial Analyst,"Hims & Hers - Hims, Inc.","Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-6 Yrs,SANAnalyticalHIMSFinanceConsultingFinancial AnalystInvestment bankingSubject Matter Expert,1 Day Ago,24-11-2024,Not disclosed
Assistant Manager/Manager,Flight Raja Travels Private Limited,"Guwahati, Srinagar, Hyderabad, Jaipur, Kolkata, Ludhiana, Agartala, Bhopal, Mumbai, Thane, Delhi, Lucknow, Pune, Ahmedabad, Bengaluru, Surat",3-8 Yrs,Hotel salesB2BWeb technologiesB2B SalesMS OfficeCRMHotelSales,30+ Days Ago,24-11-2024,Not disclosed
Manager Merchandising (knitwear) @ Bengaluru,Shahi,Bangalore/ Bengaluru(Arekere),10-15 Yrs,KnitwearMerchandisingManagementMerchandising strategies,2 Days Ago,24-11-2024,Not disclosed
Store Manager,DMart,"Hyderabad, Chennai, Bengaluru",9-14 Yrs,salesFMCG SalesfmcgStoresManagementStore management,3 Days Ago,24-11-2024,9-15 Lacs PA
Sales Content Creator - Bangalore,2coms,Bengaluru,1-6 Yrs,digital marketingsales trainingcrm systemsproject managementsaporaclesales enablementpresentation skills,4 Days Ago,24-11-2024,Not disclosed
CA Industrial Trainee,Hsbc,Mumbai,0-2 Yrs,Manager Client Servicingca industrial traineeOperational riskRegulatory reportingAnti money launderingFund administrationCapital marketOperations,5 Days Ago,24-11-2024,Not disclosed
"SENIOR, DATA SCIENTIST",Walmart,Bengaluru,2-4 Yrs,Networkingdata scienceMachine learningSEZbig dataInformation technologyStatisticsMonitoring,4 Days Ago,24-11-2024,Not disclosed
Lady Promoters @ Mumbai,HERITAGE FOODS LIMITED,"Thane, Navi Mumbai, Mumbai (All Areas)(Virar +1)",0-2 Yrs,Promoter ActivitiesProduct PromotionPromotionsBrand PromotionConsumer SalesKioskSales PromotionConsumer,3 Days Ago,24-11-2024,1.25-2.25 Lacs PA
