roles,companies,locations,experience,skills,Dates,PresentDate,salary
Junior Officer - ARFF,Adani Power (APL),Mumbai,0-2 Yrs,Fire alarm systemFire preventionUsageInchargeAviationInspectionPA systemRoom,3 Days Ago,24-11-2024,Not disclosed
Deputy Brand Manager,Mahindra Lifespaces,Mumbai,4-8 Yrs,marketing misAtlBtlBrand ActivationBrand CampaignsMISActivationBrand management,2 Days Ago,24-11-2024,Not disclosed
GET Fresher,Ultra Gas & Energy Limited (Essar Group),Mumbai,0 Yrs,PlanningProject PlanningProject,7 Days Ago,24-11-2024,3.5-4.5 Lacs PA
Urgent requirement || AP/AR and GL,EY,Navi Mumbai,0-2 Yrs,Bachelor of commerceRequirementsGLApAugmented Reality,3 Days Ago,24-11-2024,Not disclosed
Executive - Corporate Direct Taxation,Larsen & Toubro (L&T),Mumbai,0-2 Yrs,Direct TaxDirect TaxationLitigationAppealsComplianceDirectTaxationCorporate,4 Days Ago,24-11-2024,Not disclosed
Key Account Manager - Sales,Brunel,"Mumbai, Navi Mumbai",5-10 Yrs,Accounts Manager SalesBiotechnologyChemicalSalesSales Account ManagementSales managementManagementAccount management,17 Days Ago,24-11-2024,Not disclosed
Team Lead - Accounts Payable,Reliance Industries (RIL),Navi Mumbai,14-17 Yrs,Import PaymentProcure To PayAccounts PayableSAPAccountingPaymentsImportTeam leading,1 Day Ago,24-11-2024,Not disclosed
Creative Designer,Smartworks,"Gurugram, Bengaluru",2-5 Yrs,AutoCADSketchupIllustratorMS OfficePhotoshopCreative designingDesignOffice,3 Days Ago,24-11-2024,Not disclosed
Transport Operations Executive - Bangalore (Domlur),Total Group,"Bengaluru, Domlur",2-5 Yrs,CordinationPaymentTenderMISBillingOperationsCoordinationTransportation,1 Day Ago,24-11-2024,1-4 Lacs PA
Travel Consultant I,BCD Travel,Bengaluru,2-6 Yrs,sabrecustomer servicereservationproblem solvingamadeusgdscommunication skillsConsulting,1 Day Ago,24-11-2024,Not disclosed
Executive Assistant - Bangalore (Domlur),Total Group,"Bengaluru, Domlur",1-5 Yrs,Good CommunicationVendor CoordinationAdmin ActivitiesComputer SkillsBilling CordinationEmailOffice CoordinationCoordination,1 Day Ago,24-11-2024,1-4 Lacs PA
Regional Head HR- South- Bangalore,Ecom Express,Bengaluru,5-10 Yrs,HRBPBusiness PartneringBusiness HRTalent ManagementManagementHrsdRegional,2 Days Ago,24-11-2024,18-32.5 Lacs PA
Senior Product Designer,Flipkart,Bengaluru,6-8 Yrs,Product Designuser researchvisual designuser experience designfigmawireframingphotoshopinteraction design,3 Days Ago,24-11-2024,Not disclosed
Senior Project Architect,Brunel,Bengaluru,15-16 Yrs,Engineering consultancyInterpersonal skillsArchitectureSenior Project ArchitectArchitectural designREVITProjectInterpersonal Skill,3 Days Ago,24-11-2024,Not disclosed
Sr Analyst Supply Chain Development,Maersk Global Service Centres India,Bengaluru,5-7 Yrs,Supply chainSolution salesSupply chain managementQuantitative researchSupply chain developmentCustomer engagementMS Office WordSupply chain consulting,3 Days Ago,24-11-2024,Not disclosed
Senior Infrastructure Engineer - Virtualization,Maersk Global Service Centres India,Bengaluru,11-17 Yrs,VMwareAutomationData migrationLinuxCodingWindowsInformation technologyVirtualization,3 Days Ago,24-11-2024,Not disclosed
Machinery Engineer/Specialist III,Brunel,Bengaluru,6-10 Yrs,Monitoring toolsDiagnosticsPumpsTroubleshootingMS OfficeMechanical engineeringPetrochemicalOffice,3 Days Ago,24-11-2024,Not disclosed
Marketing Engineer (Bangalore),2coms,Bengaluru,2-7 Yrs,electronicsmaintenance engineeringroboticschanneltelecommunicationsaleselectricalsautomobile,3 Days Ago,24-11-2024,Not disclosed
Electrical Design Engineer/Specialist - Off role Position - Bangalore,energy storage solutions,Bengaluru,7-10 Yrs,Electrical DesignPanel GA DrawingPanel Wiring DiagramDesignPositioningPanelsWiring DiagramDesign engineering,3 Days Ago,24-11-2024,Not disclosed
Mega Walkin - Electrical Design Engineer - Substation Secondary,Quest Global,Bengaluru,30-Nov,electricaldesigncrpcubicleelectrical designhigh voltageprotectioncontrol panel,3 Days Ago,24-11-2024,Not disclosed
Senior Software Engineer (Kafka),Maersk Global Service Centres India,Bengaluru,10-20 Yrs,Performance tuningorchestrationArchitectural designData processingapplication architectureApacheDSLMonitoring,4 Days Ago,24-11-2024,Not disclosed
Finishing Engineer,Larsen & Toubro (L&T),Bengaluru,3-7 Yrs,Finishingfalse ceilingsHigh Rise Buildingflooringpaintingtilinginstallation of fixturesplastering,4 Days Ago,24-11-2024,Not disclosed
Mega Walk-in Interview - Instrumentation Design Engineer - Bangalore,Quest Global,Bengaluru,30-Nov,instrumentation designsizingp&idcable conduitInstrumentation Engineeringcable scheduleData SheetsDetail Engineering,4 Days Ago,24-11-2024,Not disclosed
Mega Walk-in Interview - Electrical Design Engineer - Bangalore,Quest Global,Bengaluru,30-Nov,electrical designturbineCable Sizingtransformersacgeneral neutrallow voltagegenerator,4 Days Ago,24-11-2024,Not disclosed
Research Associate I,Jubilant Enpro (jubilant),Bengaluru,2-6 Yrs,Medicinal chemistryPharmaclinical developmentOncologyCNSLife sciencesBiologyinformatics,5 Days Ago,24-11-2024,Not disclosed
