roles,companies,locations,experience,skills,Dates,PresentDate,salary
Client Support Officer,DC Consultants,"Mumbai, Navi Mumbai",6-11 Yrs,Executive TechnologyPre Sales ExecutiveCustomer satisfactionProduction ExecutiveOutbound salesPresalesSEMStructural engineering,30+ Days Ago,23-11-2024,Not disclosed
Client Reletionship Executive,DC Consultants,Mumbai,6-11 Yrs,Client handlingLead generationExecutiveConsumer insightsPHPCustomer Support ExecutiveFinance ExecutiveHTML,30+ Days Ago,23-11-2024,Not disclosed
Business Developer - MBP,DC Consultants,"Mumbai, Navi Mumbai",1-4 Yrs,Content managementHead Business DevelopmentManagement systemsMarket intelligencePHPWorkflowE-commerceCustomer support,30+ Days Ago,23-11-2024,Not disclosed
Bridge Design Engineer,DC Consultants,"Mumbai, Navi Mumbai",3-5 Yrs,Technology HeadStaadAutoCADQuality inspectionIT Headbridge designGIS AnalystMechanical engineering,30+ Days Ago,23-11-2024,Not disclosed
Back Office Executive,DC Consultants,Mumbai,7-12 Yrs,AccessoriesPPCMISMySQLBack officeCustomer supportAdvanced ExcelDigital marketing,30+ Days Ago,23-11-2024,Not disclosed
Asst Sales Manager,DC Consultants,"Mumbai, Navi Mumbai",2-7 Yrs,TelecomTechnology HeadSalesIT HeadBankingCustomer supportSEMSEO,30+ Days Ago,23-11-2024,Not disclosed
Asst . Sales Manager / Sales Manager,DC Consultants,"Mumbai, Navi Mumbai",10-12 Yrs,ConstructionSales strategyArchitectureSales AssistantAction planBrand marketingInfrastructureCustomer support,30+ Days Ago,23-11-2024,Not disclosed
Asst . Sales Manager,DC Consultants,Mumbai,4-6 Yrs,Administrator SupportPPCSalesQuery resolutionCustomer supportSEMSales CoordinatorLegal documentation,30+ Days Ago,23-11-2024,Not disclosed
Asst . Sales Manager,DC Consultants,Mumbai,1-5 Yrs,Technology HeadSalesIT HeadConsumer insightsCustomer supportClient relationshipFactTechnology,30+ Days Ago,23-11-2024,Not disclosed
Asst . Sales Manager,DC Consultants,Mumbai,6-11 Yrs,Executive TechnologySalesProduction ExecutiveCorporate affairsManager TechnologyCustomer supportSEMAccounts Executive,30+ Days Ago,23-11-2024,Not disclosed
Asst . Sales Manager,DC Consultants,Mumbai,1-5 Yrs,TrainingE-learningCorporate trainingIT trainingPeople developmentOrganizational developmentmanagementBehavioural training,30+ Days Ago,23-11-2024,Not disclosed
Web Developer,DC Consultants,Mumbai,5-10 Yrs,Supply chainSalesQuality checkCustomer supportSEMLogistics operationsSales processSEO,30+ Days Ago,23-11-2024,Not disclosed
UI / UX Designer Developer,DC Consultants,Navi Mumbai,1-6 Yrs,GISPPCContent managementjQueryCodingIllustratorCorel DrawHTML,30+ Days Ago,23-11-2024,Not disclosed
Test Instruments Service Engineer,DC Consultants,Mumbai,2-7 Yrs,TrainingTechnology HeadChemicalIT HeadPackagingElectronicsCustomer supportGIS Analyst,30+ Days Ago,23-11-2024,Not disclosed
Telecaller,DC Consultants,Mumbai,5-10 Yrs,SalesPresalesTelecalling,30+ Days Ago,23-11-2024,Not disclosed
Technical Sales / Printing,DC Consultants,"Mumbai, New Delhi",3-8 Yrs,Printingexecutive hr administratorTechnical Sales ExecutiveChemicalSalesWordpressPackagingJavascript,30+ Days Ago,23-11-2024,Not disclosed
Team Leader - Secondary Sales,DC Consultants,Mumbai,1-4 Yrs,Global marketingExcelPharmaVLOOKUPClient coordinationCosmeticsSEMMIS preparation,30+ Days Ago,23-11-2024,Not disclosed
