roles,companies,locations,experience,skills,Dates,PresentDate,salary
Technical Expert - PaCo,Nokia,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-8 Yrs,GSMUMTSTechnical ExpertAnalyticalIntegration testingPerlTroubleshootingIMS,30+ Days Ago,24-11-2024,Not disclosed
Senior Software Infrastructure Architect,Nokia,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",10-12 Yrs,GITLinuxNetworkingPostgresqlDebuggingConsultingApplication securityTroubleshooting,30+ Days Ago,24-11-2024,Not disclosed
Business Manager DTH-Raigarh,Airtel,Pune,4-5 Yrs,market penetrationbusiness managementpenetrationchannel saleschanneldistributionsalesfield sales,3 Days Ago,24-11-2024,Not disclosed
Information Security Specialist,Amdocs,Pune,1-12 Yrs,AutomationTesting toolsInformation securityConfiguration managementNetwork securityPerlHTTPRuby,4 Days Ago,24-11-2024,Not disclosed
Learning Business Partner,Amdocs,Pune,3-6 Yrs,BackendMiddle managementMatrixOrganizational developmentTalent acquisitionHRManagementMS Office,4 Days Ago,24-11-2024,Not disclosed
UX/UI Specialist,Amdocs,Pune,6-7 Yrs,Computer scienceGraphic designingjQueryUser interactiongui developmentConsultingJavascriptFunctional analysis,4 Days Ago,24-11-2024,Not disclosed
SW Test Manager,Amdocs,Pune,12-14 Yrs,systems development life cyclemicroservicesplsqlsqlamdocsjavacouchbasedevops,4 Days Ago,24-11-2024,Not disclosed
Information Security Specialist,Amdocs,Pune,6-12 Yrs,Computer scienceCismcyber securityInformation securityRisk assessmentProject managementOWASPIT risk management,4 Days Ago,24-11-2024,Not disclosed
Information Security Specialist,Amdocs,Pune,6-12 Yrs,Managed servicesPerformance managementInformation securitySOCConsultingInformation technologyRecruitmentAuditing,4 Days Ago,24-11-2024,Not disclosed
System Specialist,Amdocs,Pune,4-10 Yrs,Computer scienceAixVMwareHP-UXLinuxNetworkingSolarisRHEL,4 Days Ago,24-11-2024,Not disclosed
DB Administrator - IMS / DB2,Amdocs,Pune,5-8 Yrs,VSAMTSOJCLNetworkingCicsDatabase administrationTroubleshootingIMS,4 Days Ago,24-11-2024,Not disclosed
Software Technical Expert (Python\Java\Groovy),Amdocs,Pune,8-11 Yrs,Computer scienceInterpersonal skillsorchestrationdevelopment testingCodingTechnical ExpertCloudDesign development,4 Days Ago,24-11-2024,Not disclosed
Network Specialist (SharePoint Specialist),Amdocs,Pune,9-12 Yrs,AutomationProject implementationArchitectureFocusShapingCloudManagementAmdocs,4 Days Ago,24-11-2024,Not disclosed
Software Technical Expert,Amdocs,Pune,8-11 Yrs,Computer scienceVMwareSoftware designNetworkingDebuggingArchitectural designopenstackVirtualization,4 Days Ago,24-11-2024,Not disclosed
Software Architect,Amdocs,Pune,9-11 Yrs,Computer scienceSoftware designUsagePrototypeNetworkingArchitectural designSoftware development life cycleHigh level design,4 Days Ago,24-11-2024,Not disclosed
GenAI Team Lead,Amdocs,Pune,7-13 Yrs,Software development methodologiesGCPTechnical designCloudTechnical leadershipScrumAmdocsSupervision,4 Days Ago,24-11-2024,Not disclosed
Software Engineering Specialist,Amdocs,Pune,7-12 Yrs,Computer scienceInterpersonal skillsorchestrationWeb servicesCodingDebuggingCloudDesign development,4 Days Ago,24-11-2024,Not disclosed
"Software Engineering Specialist(C#,Java, 6+ years, Pune)",Amdocs,Pune,7-12 Yrs,Computer scienceRelease engineeringVSAMCIDMSTalent acquisitionCicsCobol,4 Days Ago,24-11-2024,Not disclosed
"Software Engineering Manager (R&D, Pune)",Amdocs,Pune,12-14 Yrs,TomcatProject managementPostgresqlProject planningOracleRisk managementContinuous improvementAmdocs,4 Days Ago,24-11-2024,Not disclosed
DevOps Expert,Amdocs,Pune,10-12 Yrs,Root cause analysisUsageVersion controlGITControl systemDebuggingDeploymentTroubleshooting,4 Days Ago,24-11-2024,Not disclosed
Software Technical Expert,Amdocs,Pune,10-12 Yrs,AutomationDesign reviewGCPTechnical designsparkCloudWorkflowHigh level design,4 Days Ago,24-11-2024,Not disclosed
Business Analysis Specialist (SAP SD Specialist),Amdocs,Pune,5-20 Yrs,O2CSolution designSAP SDdevelopment testingBusiness analysisSD moduleAmdocsABAP,3 Days Ago,24-11-2024,Not disclosed
Project Manager (CSR),Amdocs,Pune,3-7 Yrs,CSRData managementProject managementAnalyticalCorporateAgileProject planningAmdocs,4 Days Ago,24-11-2024,Not disclosed
Media Content Engineer,Amdocs,Pune,1-3 Yrs,digital marketingccontent editingmanual testingphotoshopmediaadvertisingimaging,4 Days Ago,24-11-2024,Not disclosed
Technical Publications Professional,Amdocs,Pune,3-7 Yrs,Project developmentProduct trainingTelecomUsageDesign reviewAgileScrumJIRA,4 Days Ago,24-11-2024,Not disclosed
Information Security Analyst,Amdocs,Pune,2-8 Yrs,UnixPatch managementCismLinuxCisaWindowsRisk managementSDLC,4 Days Ago,24-11-2024,Not disclosed
Software Engineer (Nifi Flows),Amdocs,Pune,2-5 Yrs,Computer scienceCodingAgileWorkflowJSONApacheTechnical supportUnix shell scripting,4 Days Ago,24-11-2024,Not disclosed
Software Engineering Specialist-ServiceNow,Amdocs,Pune,2-6 Yrs,AutomationjQueryDebuggingCMSJDBCSystem designApplication developmentJSON,4 Days Ago,24-11-2024,Not disclosed
Technical & Business Operations Specialist,Amdocs,Pune,5-12 Yrs,GraphicsRoot cause analysisData managementTime managementAnalyticalH264VODPowerpoint,4 Days Ago,24-11-2024,Not disclosed
Business Analysis Specialist(SAP workflow & ABAP),Amdocs,Pune,6-8 Yrs,Solution designModule pool programmingSAP R3Business analysisSAP ABAPWebDynProWorkflowQuality Review,4 Days Ago,24-11-2024,Not disclosed
Information Security Specialist,Amdocs,Pune,6-7 Yrs,CismPCI DSSCisaISO 20000Risk assessmentISO 27001OWASPInformation technology,4 Days Ago,24-11-2024,Not disclosed
