roles,companies,locations,experience,skills,Dates,PresentDate,salary
Looking For Robot FW Automation,Tech Mahindra,"Hyderabad, Pune, Bengaluru",7-10 Yrs,DB2Automation TestingMainframeUI pathJMeterUipathAutomationUI,2 Days Ago,23-11-2024,6-16 Lacs PA
"SAP Basis L1 @Nttdata, Hyderabad, Bangalore, Pune, Chennai",NTT DATA,"Hyderabad, Pune, Bengaluru",2-4 Yrs,SAPSupportBASISMonitoringHANAUpgradeKernelL1,2 Days Ago,23-11-2024,5.5-11 Lacs PA
Salesforce Program Manager,Sigmasoft Infotech,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",10-12 Yrs,ConsultingProject deliveryAdvisorySalesforceProgramProjectManagementDelivery,30+ Days Ago,23-11-2024,Not disclosed
Server not found,Z Plus Technology,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Web technologiesNetworkingFirewallServerServ,30+ Days Ago,23-11-2024,Not disclosed
Senior Java Developer / Tech Lead,Tech Mahindra,"Hybrid - Pune, Chennai, Bengaluru",6-11 Yrs,Spring BootCi/CdMicroservicesGITJava LeadNginxJava ProgrammingKafka,1 Day Ago,23-11-2024,Not disclosed
Java F2F Drive - Bangalore - Capgemini,Capgemini,"Hybrid - Pune, Chennai, Bengaluru",23-Nov,Springboot JavaJavaHibernateSpring BootMicroservicesSpring MvcJava DevelopmentDrives,2 Days Ago,23-11-2024,Not disclosed
Mega drive For SAP MM and ABAP developers,Cognizant,"Hybrid - Pune, Bangalore Rural, Chennai",6-11 Yrs,SAPMMMaterial ManagementABAPDrivesSAP ABAPSAP MMMaterials,2 Days Ago,23-11-2024,Not disclosed
"AWS Glue, Lambda, Python",Cognizant,"Kolkata, Pune",6-13 Yrs,Wealth managementCodingDiversity and InclusionData processingdata integrityContinuous improvementAWSFinancial services,1 Day Ago,23-11-2024,Not disclosed
Looking For Dotnet Developer - Capgemini,Capgemini,"Hybrid - Pune, Chennai",6-11 Yrs,Dotnet Development.Net CoreNet MvcAsp.Net CoreASP.Net MVCC#Web ApiCore Network,1 Day Ago,23-11-2024,Not disclosed
S&C Global Network - AI Marketing Analytics (Growth)- Analyst,Accenture,Pune,4-9 Yrs,algorithmssqlrclusteringdata visualizationhlookuppythonsumif,Few Hours Ago,23-11-2024,Not disclosed
GN - Industry Utility SAP Bilingual,Accenture,Pune,1-5 Yrs,sap isugermansapisucollectionsadvanced analyticsproject implementationdata mapping,Few Hours Ago,23-11-2024,Not disclosed
S&C Global Network - AI - Supply Chain Analytics - Consultant,Accenture,Pune,5-6 Yrs,pythondata manipulationpysparkdata modelingdata visualizationanaplansupply chainmicrosoft azure,Few Hours Ago,23-11-2024,Not disclosed
GN - Industry - MC - Solution Architect - Consultant,Accenture,Pune,5-7 Yrs,solutioningprogram managementpresentation skillscommunication skillsarchitectureproject managementbusiness analysisbusiness development,1 Day Ago,23-11-2024,Not disclosed
GN - Industry - MC - Utilities - Business Strategy,Accenture,Pune,4-9 Yrs,osiasset managementtransformationfield operationssystembusiness strategyknowledge managementsupply,1 Day Ago,23-11-2024,Not disclosed
S&C Global Network - AI - Supply Chain Analytics - Manager,Accenture,Pune,9-12 Yrs,supply chainsales and operations planningdata sciencemanufacturing operationsinventory planningadvanced analyticsanaplanlogistics planning,1 Day Ago,23-11-2024,Not disclosed
Data Platform Engineer,Accenture,Pune,7-12 Yrs,data analyticsdata securitydatabase designdata modelingdesign principleshivepythonmicrosoft azure,1 Day Ago,23-11-2024,Not disclosed
Application Developer,Accenture,Pune,3-8 Yrs,analytics servicessoftware developmentazure analyticsmicrosoft azureazure event hubc#pythonoracle,1 Day Ago,23-11-2024,Not disclosed
Python(Pyspark/SQL/Spark),Cognizant,Pune,6-13 Yrs,Version controlLinuxCodingDatabase designStrategic planningSQLPythonSystem administration,1 Day Ago,23-11-2024,Not disclosed
Azure Services,Cognizant,Pune,6-13 Yrs,T-SQLdevelopment testingCodingDiversity and InclusionSoftware development life cycleDesign developmentContinuous improvementSoftware solutions,1 Day Ago,23-11-2024,Not disclosed
Senior Manager - Legal,Cognizant,Pune,12-16 Yrs,Manager LegalDiversity and InclusionIntellectual propertyLegalContract lawLicensingCorporate lawRFP,2 Days Ago,23-11-2024,Not disclosed
Senior Manager,Cognizant,Pune,11-23 Yrs,Time managementDiversity and InclusionIntellectual propertyLegalContract lawLicensingCorporate lawRFP,2 Days Ago,23-11-2024,Not disclosed
