roles,companies,locations,experience,skills,salary,industry,experience_cleaned,min_experience,max_experience,min_salary,max_salary,is_salary_disclosed,avg_salary,days_ago,posting_date,job_age_days,seniority_level,is_remote,is_high_salary
sales associate,Pepsi Foods,Tirupati,2-3 Yrs,TrainingSalesSales RepresentativeRelationship buildingBusiness planningPresalesFMCGSales Associate,Not disclosed,Consumer Retail & Hospitality,2-3,2,3,0.0,0.0,False,0.0,25.0,2024-10-30,31.0,Entry,False,False
territory growth manager,Ashirvad Pipes,Bengaluru,5-8 Yrs,marketingwritten communicationterritory growthpresentation skillsbusiness developmentsalesmicrosoft office suite,Not disclosed,Consumer Retail & Hospitality,5-8,5,8,0.0,0.0,False,0.0,25.0,2024-10-30,31.0,Mid,False,False
dccp   tandoor   nellore   andhra pradesh,Rain Entertainments Pvt Ltd - Nellore - Andhra Pradesh,Nellore,10-15 Yrs,TandoorKababNon Vegeterian,Not disclosed,Consumer Retail & Hospitality,10-15,10,15,0.0,0.0,False,0.0,24.0,2024-10-31,30.0,Senior,False,False
pizza chef   nellore   andhra pradesh,Rain Entertainments Pvt Ltd - Nellore - Andhra Pradesh,Nellore,10-15 Yrs,PizzaBURGERSSANDWICHESPastaCookiesBakery,Not disclosed,Consumer Retail & Hospitality,10-15,10,15,0.0,0.0,False,0.0,24.0,2024-10-31,30.0,Senior,False,False
comm1   south indian   nellore   andhra pradesh,Rain Entertainments Pvt Ltd - Nellore - Andhra Pradesh,Nellore,10-12 Yrs,SOUTH INDIAN CHEFFood PreparationIDLIcdpindian,Not disclosed,Consumer Retail & Hospitality,10-12,10,12,0.0,0.0,False,0.0,24.0,2024-10-31,30.0,Senior,False,False
dcdp   indian   nellore   andhra pradesh,Rain Entertainments Pvt Ltd - Nellore - Andhra Pradesh,Nellore,10-12 Yrs,Food PreparationIDLISOUTH INDIAN CHEFcdpindianDcdp,Not disclosed,Consumer Retail & Hospitality,10-12,10,12,0.0,0.0,False,0.0,24.0,2024-10-31,30.0,Senior,False,False
sales executive b2c,Noguilt Fitness And Nutrition India Private Limite D,Remote,0-3 Yrs,Healthcare SalesInbound SalesB2C SalesInside SalesSales Executive ActivitiesSales ConsultingCounsellingFitness,2-3.5 Lacs PA,Consumer Retail & Hospitality,0-3,0,3,2.0,3.5,True,2.75,8.0,2024-11-16,14.0,Entry,True,False
executive/ senior executive  people development planning,Canon India Pvt Ltd,Hybrid - Gurugram,2-5 Yrs,Learning And DevelopmentPeople developmentSeniorPlanningDevelopmentDevelopment planning,Not disclosed,Consumer Retail & Hospitality,2-5,2,5,0.0,0.0,False,0.0,25.0,2024-10-30,31.0,Entry,False,False
urgently looking for sales executive   spare parts bangalore and delhi,Assumere Consultants,New Delhi,2-4 Yrs,Sales ProcessPartSalesProcessSpares managementSpare parts,3.25-4.5 Lacs PA,Consumer Retail & Hospitality,2-4,2,4,3.25,4.5,True,3.875,25.0,2024-10-30,31.0,Entry,False,False
urgently looking for sales executive   spare parts bangalore and delhi,Assumere Consultants,Bengaluru,2-4 Yrs,Sales ProcessPartSalesProcessSpares managementSpare parts,3.25-4.5 Lacs PA,Consumer Retail & Hospitality,2-4,2,4,3.25,4.5,True,3.875,25.0,2024-10-30,31.0,Entry,False,False
