roles,companies,locations,experience,skills,salary,industry,experience_cleaned,min_experience,max_experience,min_salary,max_salary,is_salary_disclosed,avg_salary,days_ago,posting_date,job_age_days,seniority_level,is_remote,is_high_salary
hr executive shared services,Dneg,Mumbai,2-6 Yrs,Human Resourcesshared servicesproject managementdata analysisprogram deliveryhrisresearch analysiscompensation,Not disclosed,Technology,2-6,2,6,0.0,0.0,False,0.0,7.0,2024-11-17,13.0,Entry,False,False
project technical lead,Nokia,Mumbai,7-10 Yrs,project planningproject managementtroubleshootingdebuggingproject delivery managementproject architectureLeadershipProject,Not disclosed,Technology,7-10,7,10,0.0,0.0,False,0.0,9.0,2024-11-15,15.0,Mid,False,False
hr executive,Della Group,Mumbai,2-5 Yrs,BiometricsHR ExecutiveBankingExecutive Business AdministrationHoDMonitoringData entryRecruitment,Not disclosed,Technology,2-5,2,5,0.0,0.0,False,0.0,3.0,2024-11-21,9.0,Entry,False,False
deputy manager   software engineer,_Vois,Pune,3-7 Yrs,Core JavaMavenobject-oriented programmingWebLogicShell ScriptingCI/CDAgileAPI,Not disclosed,Technology,3-7,3,7,0.0,0.0,False,0.0,5.0,2024-11-19,11.0,Mid,False,False
solution selling specialist,Nokia,Mumbai,7-10 Yrs,Solution Sellingcustomer relationship mangaementSales Developmentpresalesaccount managementSalesCustomer relationshipAccounting,Not disclosed,Technology,7-10,7,10,0.0,0.0,False,0.0,9.0,2024-11-15,15.0,Mid,False,False
deputy manager_ amdocs infra expert,_Vois,Pune,4-9 Yrs,AmdocsJenkinsJavaMavenTomcatWebLogicGitHubAmdocs CES Development,Not disclosed,Technology,4-9,4,9,0.0,0.0,False,0.0,5.0,2024-11-19,11.0,Mid,False,False
"software engineer ( cobol, jcl, db2 )",Amdocs,Pune,3-6 Yrs,JCLDb2Technical designCobolContinuous improvementApplication softwareAmdocsSoftware solutions,Not disclosed,Technology,3-6,3,6,0.0,0.0,False,0.0,4.0,2024-11-20,10.0,Mid,False,False
software engineer(sap bw on hana),Amdocs,Pune,4-7 Yrs,Computer sciencePerformance tuningData modelingAgileStored proceduresInformation technologyABAPAnalytics,Not disclosed,Technology,4-7,4,7,0.0,0.0,False,0.0,4.0,2024-11-20,10.0,Mid,False,False
sr. security analyst   firewall || bharti airtel || navi mumbai,Airtel,Navi Mumbai,5-9 Yrs,FirewallCheckpointCisco ASACheckpoint FirewallNetwork SecurityFortinetSecurityCisco,Not disclosed,Technology,5-9,5,9,0.0,0.0,False,0.0,9.0,2024-11-15,15.0,Mid,False,False
sw test specialist (senior genai automation engineer),Amdocs,Pune,4-11 Yrs,Computer scienceSoftware testingHealth insuranceAutomationorchestrationAPI TestingAmdocsSoftware solutions,Not disclosed,Technology,4-11,4,11,0.0,0.0,False,0.0,4.0,2024-11-20,10.0,Mid,False,False
software engineering specialist (senior genai developer),Amdocs,Pune,6-9 Yrs,AutomationSoftware development methodologiesGCPDebuggingMachine learningAgileScrumNatural language processing,Not disclosed,Technology,6-9,6,9,0.0,0.0,False,0.0,4.0,2024-11-20,10.0,Mid,False,False
data entry operator,Jio,Navi Mumbai,1-3 Yrs,Data EntryTypingData ManagementData Entry OperationData Entry OperatorManagementDataOperating,Not disclosed,Technology,1-3,1,3,0.0,0.0,False,0.0,11.0,2024-11-13,17.0,Entry,False,False
sales representative,Anytime Fitness (Af),Hyderabad,0-2 Yrs,Sales RepresentativeUPSPresalesManagementSales,Not disclosed,Technology,0-2,0,2,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
sales representative,Anytime Fitness (Af),Lucknow,0-2 Yrs,Sales RepresentativeUPSPresalesManagementSales,Not disclosed,Technology,0-2,0,2,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
sales representative,Anytime Fitness (Af),Bengaluru,0-2 Yrs,Sales RepresentativeUPSPresalesManagementSales,Not disclosed,Technology,0-2,0,2,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
customer service coordinator   us voice support,Wolters Kluwer - Medknow Publications,Mumbai,4-5 Yrs,ClaimsWeb technologiesProduct serviceMS OutlookBillingCustomer serviceManager Quality ControlCustomer Service Coordinator,Not disclosed,Technology,4-5,4,5,0.0,0.0,False,0.0,6.0,2024-11-18,12.0,Mid,False,False
business finance (fp&a),Jio,Navi Mumbai,4-6 Yrs,Business FinanceBusiness PlanningFPACost PlanningFinancial Planning And AnalysisAnnual Operating planBudgetingFinance,Not disclosed,Technology,4-6,4,6,0.0,0.0,False,0.0,11.0,2024-11-13,17.0,Mid,False,False
customer service team lead   us team lead,Wolters Kluwer - Medknow Publications,Mumbai,4-7 Yrs,AdministrationService levelVoice supportCustomer serviceManager Quality ControlContinuous improvementMS OfficeMonitoring,Not disclosed,Technology,4-7,4,7,0.0,0.0,False,0.0,6.0,2024-11-18,12.0,Mid,False,False
walk in drive on 26th nov  enterprise sales officer   b2b (male),Jio,Hyderabad,26-Nov,Enterprise SalesBusinesss to BusinessBroadband SalesSmall and Medium EnterprisesSME SalesKey AccountsWirelineILL,3.5-5 Lacs PA,Technology,26-Nov,0,0,3.5,5.0,True,4.25,2.0,2024-11-22,8.0,Entry,False,False
sr. security analyst   vpn || bharti airtel || navi mumbai,Airtel,Navi Mumbai,5-9 Yrs,NetskopeIAMVPNNetwork SecurityRouting ProtocolsWeb Application FirewallSecurity analysisFirewall,Not disclosed,Technology,5-9,5,9,0.0,0.0,False,0.0,11.0,2024-11-13,17.0,Mid,False,False
personal trainer,Anytime Fitness (Af),Hyderabad,0-3 Yrs,CounsellingTrainingPersonalPersonal Training,Not disclosed,Technology,0-3,0,3,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
personal trainer,Anytime Fitness (Af),Lucknow,0-3 Yrs,CounsellingTrainingPersonalPersonal Training,Not disclosed,Technology,0-3,0,3,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
personal trainer,Anytime Fitness (Af),Bengaluru,0-3 Yrs,CounsellingTrainingPersonalPersonal Training,Not disclosed,Technology,0-3,0,3,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
operational quality associate   us voice process,Wolters Kluwer - Medknow Publications,Mumbai,2-5 Yrs,TrainingChange managementManager Quality AssuranceProcess improvementAnalyticalOperationsSPIData entry,Not disclosed,Technology,2-5,2,5,0.0,0.0,False,0.0,6.0,2024-11-18,12.0,Entry,False,False
